"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9051","39,954","7","202007","29","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.9587","35,580","17","202008","1","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.9587","36,080","28","202008","1","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","36,680","16","202008","1","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","43,260","26","202008","1","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","36,681","15","202008","1","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","39,380","20","202008","2","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","36,986","22","202008","3","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","36,180","13","202008","3","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","35,280","7","202008","4","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","35,280","7","202008","4","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","36,707","10","202008","5","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","38,060","2","202008","5","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.9587","36,230","21","202008","6","분",""
